SYMBOL_ID,UNIVERSAL_SYMBOL,COUNTRY_ISO_3166-1_ALPHA_2_CODE,COUNTRY,EXCHANGE_MIC,EXCHANGE_OPERATING_MIC,EXCHANGE_NAME_INSTITUTION_DESCRIPTION,EXCHANGE_ACRONYM,COMPANY,IPOYEAR,SECTOR,INDUSTRY,NASDAQ,ZACKS,REUTERS,FIDELITY,TD_AMERITRADE,TMX_MONEY,BLOOMBERG,YAHOO,CNBC,THE_STREET,INTERNET_BUSINESS_DAILY,STOCK_EARNINGS,BARCHART,VECTOR_VEST,INVESTING
1,US_XNAS_TXG,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"10x Genomics, Inc.",2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,TXG,TXG,TXG,TXG,TXG,,TXG:US,TXG,TXG,TXG,TXG,TXG,TXG,TXG,TXG
2,US_XNAS_YI,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"111, Inc.",2018,Health Care,Medical/Nursing Services,YI,YI,YI,YI,YI,,YI:US,YI,YI,YI,YI,YI,YI,YI,YI
3,US_XNAS_PIH,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"1347 Property Insurance Holdings, Inc.",2014,Finance,Property-Casualty Insurers,PIH,PIH,PIH,PIH,PIH,,PIH:US,PIH,PIH,PIH,PIH,PIH,PIH,PIH,PIH
4,US_XNAS_PIHPP,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"1347 Property Insurance Holdings, Inc.",n/a,Finance,Property-Casualty Insurers,PIHPP,PIHPP,PIHPP,PIHPP,PIHPP,,PIHPP:US,PIHPP,PIHPP,PIHPP,PIHPP,PIHPP,PIHPP,PIHPP,PIHPP
5,US_XNAS_TURN,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,180 Degree Capital Corp.,n/a,Finance,Finance/Investors Services,TURN,TURN,TURN,TURN,TURN,,TURN:US,TURN,TURN,TURN,TURN,TURN,TURN,TURN,TURN
6,US_XNAS_FLWS,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"1-800-FLOWERS.COM, Inc.",1999,Consumer Services,Other Specialty Stores,FLWS,FLWS,FLWS,FLWS,FLWS,,FLWS:US,FLWS,FLWS,FLWS,FLWS,FLWS,FLWS,FLWS,FLWS
7,US_XNAS_BCOW,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"1895 Bancorp of Wisconsin, Inc.",2019,Finance,Banks,BCOW,BCOW,BCOW,BCOW,BCOW,,BCOW:US,BCOW,BCOW,BCOW,BCOW,BCOW,BCOW,BCOW,BCOW
8,US_XNAS_ONEM,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"1Life Healthcare, Inc.",2020,Health Care,Medical/Nursing Services,ONEM,ONEM,ONEM,ONEM,ONEM,,ONEM:US,ONEM,ONEM,ONEM,ONEM,ONEM,ONEM,ONEM,ONEM
9,US_XNAS_FCCY,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,1st Constitution Bancorp (NJ),n/a,Finance,Savings Institutions,FCCY,FCCY,FCCY,FCCY,FCCY,,FCCY:US,FCCY,FCCY,FCCY,FCCY,FCCY,FCCY,FCCY,FCCY
10,US_XNAS_SRCE,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,1st Source Corporation,n/a,Finance,Major Banks,SRCE,SRCE,SRCE,SRCE,SRCE,,SRCE:US,SRCE,SRCE,SRCE,SRCE,SRCE,SRCE,SRCE,SRCE
11,US_XNAS_VNET,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"21Vianet Group, Inc.",2011,Technology,"Computer Software: Programming, Data Processing",VNET,VNET,VNET,VNET,VNET,,VNET:US,VNET,VNET,VNET,VNET,VNET,VNET,VNET,VNET
12,US_XNAS_TWOU,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"2U, Inc.",2014,Technology,Computer Software: Prepackaged Software,TWOU,TWOU,TWOU,TWOU,TWOU,,TWOU:US,TWOU,TWOU,TWOU,TWOU,TWOU,TWOU,TWOU,TWOU
13,US_XNAS_QFIN,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"360 Finance, Inc.",2018,Finance,Finance: Consumer Services,QFIN,QFIN,QFIN,QFIN,QFIN,,QFIN:US,QFIN,QFIN,QFIN,QFIN,QFIN,QFIN,QFIN,QFIN
14,US_XNAS_KRKR,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,36Kr Holdings Inc.,2019,Miscellaneous,Business Services,KRKR,KRKR,KRKR,KRKR,KRKR,,KRKR:US,KRKR,KRKR,KRKR,KRKR,KRKR,KRKR,KRKR,KRKR
15,US_XNAS_JOBS,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"51job, Inc.",2004,Technology,Diversified Commercial Services,JOBS,JOBS,JOBS,JOBS,JOBS,,JOBS:US,JOBS,JOBS,JOBS,JOBS,JOBS,JOBS,JOBS,JOBS
16,US_XNAS_ETNB,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,"89bio, Inc.",2019,Health Care,Major Pharmaceuticals,ETNB,ETNB,ETNB,ETNB,ETNB,,ETNB:US,ETNB,ETNB,ETNB,ETNB,ETNB,ETNB,ETNB,ETNB
17,US_XNAS_JFK,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,8i Enterprises Acquisition Corp,2019,Finance,Business Services,JFK,JFK,JFK,JFK,JFK,,JFK:US,JFK,JFK,JFK,JFK,JFK,JFK,JFK,JFK
18,US_XNAS_JFKKR,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,8i Enterprises Acquisition Corp,2019,Finance,Business Services,JFKKR,JFKKR,JFKKR,JFKKR,JFKKR,,JFKKR:US,JFKKR,JFKKR,JFKKR,JFKKR,JFKKR,JFKKR,JFKKR,JFKKR
19,US_XNAS_JFKKU,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,8i Enterprises Acquisition Corp,2019,Finance,Business Services,JFKKU,JFKKU,JFKKU,JFKKU,JFKKU,,JFKKU:US,JFKKU,JFKKU,JFKKU,JFKKU,JFKKU,JFKKU,JFKKU,JFKKU
20,US_XNAS_JFKKW,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,8i Enterprises Acquisition Corp,2019,Finance,Business Services,JFKKW,JFKKW,JFKKW,JFKKW,JFKKW,,JFKKW:US,JFKKW,JFKKW,JFKKW,JFKKW,JFKKW,JFKKW,JFKKW,JFKKW
21,US_XNAS_EGHT,US,United States of America,XNAS,XNAS,NASDAQ - ALL MARKETS,NASDAQ,8x8 Inc,n/a,Technology,EDP Services,EGHT,EGHT,EGHT,EGHT,EGHT,,EGHT:US,EGHT,EGHT,EGHT,EGHT,EGHT,EGHT,EGHT,EGHT
