./result/symbol_id,universal_site_symbol,site_symbol,timestamp,fiscal_year,fiscal_quarter,revenue,eps,dividends
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2019 (FISCAL YEAR),MARCH,$1,102(m),($0.73) (03/31/2019),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2019 (FISCAL YEAR),JUNE,$1,273(m),$1.64 (06/30/2019),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2019 (FISCAL YEAR),SEPTEMBER,$1,271(m),$1.38 (09/29/2019),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2019 (FISCAL YEAR),DECEMBER (FYE),$1,178(m),($1.08) (12/29/2019),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2019 (FISCAL YEAR),TOTALS,$4,826(m),$1.21,$1.00
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2018 (FISCAL YEAR),MARCH,$1,064(m),($1.52) (04/01/2018),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2018 (FISCAL YEAR),JUNE,$1,220(m),($0.42) (07/01/2018),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2018 (FISCAL YEAR),SEPTEMBER,$1,204(m),$2.69 (09/30/2018),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2018 (FISCAL YEAR),DECEMBER (FYE),$1,136(m),($2.88) (12/30/2018),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2018 (FISCAL YEAR),TOTALS,$4,625(m),($2.13),$1.00
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2017 (FISCAL YEAR),MARCH,$865(m),($0.54) (04/02/2017),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2017 (FISCAL YEAR),JUNE,$1,169(m),$0.68 (07/02/2017),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2017 (FISCAL YEAR),SEPTEMBER,$1,162(m),$1.85 (10/01/2017),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2017 (FISCAL YEAR),DECEMBER (FYE),$1,090(m),$8.31 (12/31/2017),$0.25
342,US_XNAS_AAPL,COKE,2020-05-01-12-18,2017 (FISCAL YEAR),TOTALS,$4,287(m),$10.30,$1.00
